Wavelength,Anabaena,Aphanizomenon,Cylindrospermum-corrrected,Eucapsis,Gleocapsa,Gleotrichia,Lyngbya,Merismopedia,Microcystis,Nostoc,Oscillatoria,Spirulina,Tolypothrix
397.45,4.69,0.002814,0.001268,0.000812,0.00109,0.001071,0.000285,0.000285,0.002458,0.002379,0.002461,0.000121,0.00123,0.001025
402.46,4.69,0.005042,0.001838,0.001273,0.001715,0.001862,0.000721,0.000825,0.004176,0.00387,0.00423,-5.5e-05,0.002218,0.001599
407.47,4.69,0.008497,0.00274,0.002028,0.00267,0.003224,0.001007,0.00168,0.006515,0.005916,0.006924,6.4e-05,0.002889,0.00242
412.29,4.69,0.012102,0.003744,0.002929,0.003752,0.004855,0.001384,0.001791,0.010341,0.008796,0.009611,0.000569,0.005538,0.003257
417.51,4.69,0.014968,0.004681,0.003828,0.004721,0.006489,0.001456,0.002458,0.013116,0.011387,0.012297,0.000363,0.006649,0.004828
422.54,4.69,0.017397,0.005415,0.00456,0.004864,0.007978,0.002278,0.003037,0.015667,0.012915,0.013674,0.000758,0.008261,0.005507
427.57,4.69,0.022131,0.00601,0.005118,0.005792,0.009286,0.001831,0.00347,0.01783,0.014751,0.014942,0.00077,0.008676,0.005397
432.6,4.69,0.031104,0.006708,0.005798,0.007706,0.010665,0.00223,0.004171,0.021047,0.017172,0.015231,0.00058,0.010186,0.006111
437.64,4.69,0.044302,0.00781,0.007095,0.010404,0.01264,0.003309,0.005159,0.026186,0.020153,0.017913,0.000679,0.011779,0.008664
442.69,4.69,0.058691,0.009351,0.009383,0.014012,0.015014,0.004781,0.007512,0.032585,0.023318,0.022245,0.000974,0.01483,0.009658
447.74,4.69,0.070108,0.011194,0.012681,0.017965,0.017725,0.006938,0.009967,0.041627,0.027654,0.027264,0.001856,0.017296,0.012312
452.8,4.69,0.0793,0.013229,0.016285,0.021277,0.020971,0.009197,0.012915,0.05117,0.031603,0.035125,0.002641,0.020839,0.014969
457.86,4.69,0.090539,0.015165,0.019159,0.024128,0.023979,0.010183,0.014687,0.060317,0.036524,0.039755,0.003524,0.02399,0.016744
462.92,4.69,0.101704,0.016998,0.02156,0.027634,0.026683,0.012444,0.017833,0.067312,0.040858,0.045072,0.003919,0.026455,0.018616
467.99,4.69,0.11137,0.018986,0.024501,0.031078,0.030067,0.012645,0.019409,0.077635,0.046268,0.051267,0.004606,0.029603,0.021957
473.07,4.69,0.119334,0.020809,0.02747,0.03364,0.033356,0.014999,0.021862,0.087447,0.049999,0.057155,0.005587,0.031371,0.024705
478.15,4.69,0.126394,0.02262,0.030107,0.036101,0.036225,0.015295,0.024021,0.094614,0.055005,0.061181,0.006471,0.034414,0.024805
483.23,4.69,0.1323,0.024846,0.032389,0.039881,0.038957,0.016768,0.025593,0.09992,0.059326,0.063052,0.007256,0.035497,0.027162
488.32,4.69,0.141168,0.027774,0.034589,0.043833,0.041805,0.017746,0.027256,0.108043,0.064514,0.070004,0.007942,0.037845,0.028825
493.41,4.69,0.152034,0.031195,0.036745,0.048522,0.044172,0.018726,0.029609,0.111767,0.068433,0.073923,0.008431,0.041864,0.031079
498.51,4.69,0.163693,0.035087,0.039868,0.053361,0.046865,0.020392,0.030196,0.118627,0.075687,0.079216,0.01049,0.045098,0.033922
503.62,4.69,0.170802,0.038693,0.043776,0.058575,0.049498,0.021667,0.034118,0.126766,0.081864,0.084511,0.012255,0.04755,0.037746
508.72,4.69,0.177374,0.041862,0.048203,0.063085,0.052055,0.02206,0.038923,0.136281,0.087357,0.090396,0.014314,0.052257,0.041669
513.84,4.69,0.181774,0.044815,0.051906,0.068824,0.0535,0.021767,0.042652,0.137272,0.089522,0.09413,0.016178,0.054026,0.04579
518.96,4.69,0.184693,0.049464,0.055871,0.074633,0.055317,0.021863,0.046471,0.143628,0.094805,0.096765,0.018824,0.057353,0.049412
524.08,4.69,0.183544,0.055887,0.059229,0.079334,0.057043,0.022257,0.050299,0.146093,0.099814,0.100696,0.021178,0.059516,0.05275
529.2,4.69,0.179469,0.063573,0.061783,0.077764,0.058275,0.022253,0.05382,0.144989,0.104503,0.101365,0.023625,0.061662,0.052447
534.34,4.69,0.173714,0.070479,0.062172,0.073586,0.057912,0.02127,0.054401,0.140164,0.106351,0.098117,0.023622,0.060379,0.047538
539.48,4.69,0.165714,0.076826,0.061521,0.0769,0.057017,0.021064,0.053592,0.132354,0.106008,0.089741,0.02224,0.056332,0.040951
544.62,4.69,0.153012,0.082792,0.061028,0.077031,0.057069,0.019194,0.054545,0.133471,0.109581,0.094793,0.02311,0.057482,0.042989
549.77,4.69,0.135537,0.086732,0.059467,0.073082,0.057095,0.018991,0.052765,0.130884,0.110915,0.094566,0.022222,0.059128,0.040822
554.92,4.69,0.116578,0.08713,0.055979,0.066497,0.056126,0.016242,0.05039,0.12759,0.109489,0.093833,0.020645,0.056163,0.037279
560.08,4.69,0.105021,0.084108,0.05076,0.059193,0.053973,0.014372,0.046147,0.123482,0.10608,0.091414,0.018869,0.052306,0.034023
565.24,4.69,0.099578,0.079388,0.044935,0.053584,0.05124,0.015045,0.042205,0.116358,0.103462,0.086658,0.016119,0.04924,0.029993
