band,wavelength,width
1,402,2.4
2,404.2,3.6
3,406.8,3.8
4,409.3,3.8
5,411.8,3.6
6,414.3,3.8
7,416.9,3.4
8,419.4,3.4
9,422,3.6
10,424.6,3.6
11,427.3,3.4
12,429.8,3.4
13,432.4,3.2
14,434.9,3.2
15,437.5,3
16,439.9,3.2
17,442.5,3.4
18,445.1,3.2
19,447.8,3.4
20,450.3,3.4
21,452.9,3.4
22,455.6,3.6
23,458.2,3.4
24,460.7,3.4
25,463.3,3.2
26,465.8,3.2
27,468.3,3.4
28,470.7,3.2
29,473.4,3.2
30,475.9,3.4
31,478.5,3.4
32,481.3,3.4
33,483.8,3.2
34,486.4,3.2
35,489,3.2
36,491.6,3.2
37,494,3.2
38,496.5,3.2
39,499.2,3.4
40,501.8,3.4
41,504.3,3.4
42,506.9,3.6
43,509.5,3.6
44,512.2,3.4
45,514.7,3.4
46,517.2,3.4
47,519.6,3.4
48,522.2,3.4
49,524.7,3.4
50,527.3,3.6
51,529.7,3.4
52,532.3,3.4
53,534.9,3.6
54,537.5,3.6
55,540.2,3.4
56,542.7,3.4
57,545.2,3.6
58,547.7,3.6
59,550.3,3.6
60,552.9,3.4
61,555.5,3.4
62,558.1,3.4
63,560.6,3.6
64,563.2,3.6
65,565.8,3.6
66,568.4,3.6
67,571,3.6
68,573.5,3.6
69,576.1,3.4
70,578.6,3.4
71,581.1,3.4
72,583.7,3.4
73,586.3,3.6
74,588.8,3.6
75,591.3,3.6
76,594,3.6
77,596.6,3.6
78,599.1,3.4
79,601.6,3.6
80,604.2,3.6
81,606.8,3.4
82,609.2,3.4
83,611.8,3.6
84,614.3,3.4
85,616.9,3.4
86,619.5,3.4
87,622.1,3.4
88,624.7,3.4
89,627.2,3.4
90,629.7,3.4
91,632.2,3.2
92,634.7,3.4
93,637.2,3.4
94,639.8,3.4
95,642.3,3.4
96,644.9,3.6
97,647.5,3.6
98,650,3.4
99,652.6,3.6
100,655.2,3.4
101,657.7,3.4
102,660.2,3.4
103,662.8,3.4
104,665.3,3.4
105,667.9,3.4
106,670.5,3.4
107,673.1,3.6
108,675.8,3.6
109,678.4,3.4
110,680.9,3.4
111,683.5,3.4
112,685.9,3.4
113,688.4,3.2
114,690.9,3.4
115,693.5,3.4
116,696.2,3.4
117,698.8,3.6
118,701.5,3.6
119,703.9,3.8
120,706.7,3.6
121,709.4,3.6
122,711.8,4
123,714,4
124,716.4,3.8
125,718.9,3.4
126,721.6,3.4
127,724.2,3.6
128,726.9,3.4
129,729.4,3.4
130,732.1,3.2
131,734.4,3.2
132,736.9,3.4
133,739.5,3.4
134,742,3.2
135,744.5,3.4
136,747.2,3.4
137,749.7,3.4
138,752.3,3.4
139,755.2,3.6
140,757.7,3.4
141,760.3,3.4
142,763,3.6
143,765,3
144,767.5,3.4
145,770.3,3.4
146,772.7,3.4
147,775.4,3.4
148,778,3.6
149,780.5,3.2
150,783,3.4
151,785.6,3.2
152,788.2,3.4
153,790.6,3.2
154,793.1,3.4
155,795.9,3.4
156,798.4,3.4
157,801.2,3.2
158,804,3
159,806.7,3
160,809.1,3
161,811.7,3
162,814.3,3
163,816.9,3.2
164,819.8,3.6
165,822.8,3.2
166,824.2,3
167,827.2,3.6
168,829.2,2.8
169,832.2,3.6
170,834.9,2.6
171,836.7,3
172,840.1,3.4
173,842,2.8
174,844.7,3.4
175,847.7,3.4
176,850,3
177,852.4,3.2
178,855.4,3.2
179,857.9,3.2
180,860.3,3
181,862.9,3.4
182,865.4,3.2
183,868,3.4
184,870.6,3.4
185,873.2,3.4
186,875.8,3.6
187,878.8,4
188,881.5,3
189,883.1,3
190,885.3,3.4
191,888.1,3.6
192,890.9,3.6
193,894.1,3.6
194,896,3.2
195,898.3,3.2
196,901.2,3.6
197,903.7,3.6
198,906,3
199,908.7,4
200,911.6,4
201,914.8,3.8
202,916.6,3
203,918.4,3.6
204,921,4
205,923.9,3.6
206,927.1,3.4
207,929.6,3.4
208,931.9,3.2
209,934.5,3.8
210,937.3,3.4
211,939.4,3.2
212,942,3.8
213,944.7,3.6
214,947.3,3.6
215,949.6,3.6
216,951.9,3
217,954.2,3.6
218,957.3,3.4
219,959.6,3.4
220,962.3,3.4
221,965.5,3.6
222,968.1,3.8
223,970.4,3.6
224,972.9,3.4
225,976,4.8
226,978.7,3.6
227,980,2.8
228,981.9,4
229,984.8,6.6
230,988.9,4.2
231,991.6,3.4
232,993.1,3
233,995.6,3.4
234,997.9,3.4
235,999.5,3
