Eucapsis,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,10.9
402.46,17.15
407.47,26.7
412.29,37.52
417.51,47.21
422.54,48.64
427.57,57.92
432.6,77.06
437.64,104.04
442.69,140.12
447.74,179.65
452.8,212.77
457.86,241.28
462.92,276.34
467.99,310.78
473.07,336.4
478.15,361.01
483.23,398.81
488.32,438.33
493.41,485.22
498.51,533.61
503.62,585.75
508.72,630.85
513.84,688.24
518.96,746.33
524.08,793.34
529.2,777.64
534.34,735.86
539.48,769
544.62,770.31
549.77,730.82
554.92,664.97
560.08,591.93
565.24,535.84
570.4,470.66
575.58,415.15
580.75,366.73
585.93,326.38
591.12,294.72
596.31,250.38
601.51,195.77
606.71,198.21
611.91,187.8
617.12,180.04
622.34,183.88
627.56,197.95
632.78,214.21
638.01,234.02
643.24,245.4
648.48,235.37
653.73,209.69
658.98,183.52
664.23,164.73
669.49,162.86
674.75,190.15
680.02,239.11
685.29,291.24
690.57,326.82
695.85,341.84
701.14,345.98
706.43,336.09
711.73,307.8
717.03,270.08
722.34,227.69
727.65,196.43
732.97,184.96
738.29,180.34
743.61,178.15
748.94,174.79
754.28,172.26
759.62,170.8
764.97,169.02
770.32,163.62
775.67,150.74
781.03,137.28
786.4,126.17
791.77,118.96
797.14,114.26
802.52,109.71
