Gleotrichia,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,2.85
402.46,7.21
407.47,10.07
412.29,13.84
417.51,14.56
422.54,22.78
427.57,18.31
432.6,22.3
437.64,33.09
442.69,47.81
447.74,69.38
452.8,91.97
457.86,101.83
462.92,124.44
467.99,126.45
473.07,149.99
478.15,152.95
483.23,167.68
488.32,177.46
493.41,187.26
498.51,203.92
503.62,216.67
508.72,220.6
513.84,217.67
518.96,218.63
524.08,222.57
529.2,222.53
534.34,212.7
539.48,210.64
544.62,191.94
549.77,189.91
554.92,162.42
560.08,143.72
565.24,150.45
570.4,167.91
575.58,192.12
580.75,223.14
585.93,238.53
591.12,231.5
596.31,209.85
601.51,194.09
606.71,165.79
611.91,162.68
617.12,143.15
622.34,140.1
627.56,139.95
632.78,144.67
638.01,152.26
643.24,156.94
648.48,142.32
653.73,126.76
658.98,99.73
664.23,90.94
669.49,83.14
674.75,80.16
680.02,95.24
685.29,115.02
690.57,149.92
695.85,174.32
701.14,196.58
706.43,210.32
711.73,208.81
717.03,187.6
722.34,164.5
727.65,145.4
732.97,143.31
738.29,130.07
743.61,119.79
748.94,122.65
754.28,124.65
759.62,132.18
764.97,120.99
770.32,114.43
775.67,113.55
781.03,112.55
786.4,102.28
791.77,91.04
797.14,85.41
802.52,92.81
