Merismopedia,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,24.58
402.46,41.76
407.47,65.15
412.29,103.41
417.51,131.16
422.54,156.67
427.57,178.3
432.6,210.47
437.64,261.86
442.69,325.85
447.74,416.27
452.8,511.7
457.86,603.17
462.92,673.12
467.99,776.35
473.07,874.47
478.15,946.14
483.23,999.2
488.32,1080.43
493.41,1117.67
498.51,1186.27
503.62,1267.66
508.72,1362.81
513.84,1372.72
518.96,1436.28
524.08,1460.93
529.2,1449.89
534.34,1401.64
539.48,1323.54
544.62,1334.71
549.77,1308.84
554.92,1275.9
560.08,1234.82
565.24,1163.58
570.4,1157.81
575.58,1145.87
580.75,1143.96
585.93,1085.54
591.12,1019.39
596.31,962.79
601.51,891.82
606.71,803.69
611.91,742.69
617.12,665.46
622.34,612.58
627.56,599.39
632.78,597.01
638.01,602.3
643.24,601.74
648.48,588.51
653.73,529.13
658.98,478.53
664.23,421.19
669.49,362.18
674.75,352.12
680.02,357.16
685.29,381.19
690.57,404.24
695.85,385.59
701.14,366.66
706.43,376.29
711.73,354.58
717.03,328.27
722.34,294.4
727.65,246.97
732.97,204.69
738.29,186.74
743.61,182.96
748.94,183.01
754.28,183.22
759.62,175.85
764.97,178.69
770.32,177.69
775.67,167.49
781.03,162.71
786.4,139.46
791.77,126.31
797.14,121.56
802.52,116.91
