Nostoc,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,24.61
402.46,42.3
407.47,69.24
412.29,96.11
417.51,122.97
422.54,136.74
427.57,149.42
432.6,152.31
437.64,179.13
442.69,222.45
447.74,272.64
452.8,351.25
457.86,397.55
462.92,450.72
467.99,512.67
473.07,571.55
478.15,611.81
483.23,630.52
488.32,700.04
493.41,739.23
498.51,792.16
503.62,845.11
508.72,903.96
513.84,941.3
518.96,967.65
524.08,1006.96
529.2,1013.65
534.34,981.17
539.48,897.41
544.62,947.93
549.77,945.66
554.92,938.33
560.08,914.14
565.24,866.58
570.4,881.55
575.58,891.35
580.75,877.97
585.93,845.08
591.12,778.17
596.31,727.68
601.51,671.55
606.71,614.68
611.91,591.65
617.12,558.1
622.34,513.07
627.56,499.01
632.78,508.28
638.01,499.19
643.24,489.11
648.48,454.85
653.73,385.09
658.98,327.01
664.23,293.88
669.49,251.34
674.75,248.11
680.02,248.59
685.29,277.59
690.57,279.93
695.85,292.75
701.14,281.63
706.43,282.94
711.73,272.78
717.03,243.87
722.34,207.5
727.65,177.09
732.97,156.34
738.29,157
743.61,146.72
748.94,150.53
754.28,154.42
759.62,154.51
764.97,145.2
770.32,132.13
775.67,127.52
781.03,115.33
786.4,106.01
791.77,94.77
797.14,86.34
802.52,88.17
