Oscillatoria,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,1.21
402.46,-0.55
407.47,0.64
412.29,5.69
417.51,3.63
422.54,7.58
427.57,7.7
432.6,5.8
437.64,6.79
442.69,9.74
447.74,18.56
452.8,26.41
457.86,35.24
462.92,39.19
467.99,46.06
473.07,55.87
478.15,64.71
483.23,72.56
488.32,79.42
493.41,84.31
498.51,104.9
503.62,122.55
508.72,143.14
513.84,161.78
518.96,188.24
524.08,211.78
529.2,236.25
534.34,236.22
539.48,222.4
544.62,231.1
549.77,222.22
554.92,206.45
560.08,188.69
565.24,161.19
570.4,150.34
575.58,120.92
580.75,114.01
585.93,98.33
591.12,80.73
596.31,70.92
601.51,59.19
606.71,60.11
611.91,45.51
617.12,45.46
622.34,43.48
627.56,33.77
632.78,33.75
638.01,42.4
643.24,40.44
648.48,40.39
653.73,43.21
658.98,34.51
664.23,32.54
669.49,26.74
674.75,25.75
680.02,36.18
685.29,44.67
690.57,60.7
695.85,71.04
701.14,75.61
706.43,80.14
711.73,88.41
717.03,79.72
722.34,78.49
727.65,74.55
732.97,65.13
738.29,62.21
743.61,54.75
748.94,64.08
754.28,59.52
759.62,62.36
764.97,55.81
770.32,53.93
775.67,54.88
781.03,53.93
786.4,42.76
791.77,39.93
797.14,37.11
802.52,35.22
