Spirulina,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,12.3
402.46,22.18
407.47,28.89
412.29,55.38
417.51,66.49
422.54,82.61
427.57,86.76
432.6,101.86
437.64,117.79
442.69,148.3
447.74,172.96
452.8,208.39
457.86,239.9
462.92,264.55
467.99,296.03
473.07,313.71
478.15,344.14
483.23,354.97
488.32,378.45
493.41,418.64
498.51,450.98
503.62,475.5
508.72,522.57
513.84,540.26
518.96,573.53
524.08,595.16
529.2,616.62
534.34,603.79
539.48,563.32
544.62,574.82
549.77,591.28
554.92,561.63
560.08,523.06
565.24,492.4
570.4,447.12
575.58,405.69
580.75,377.1
585.93,348.54
591.12,317.1
596.31,289.52
601.51,255.23
606.71,206.5
611.91,218.84
617.12,202.15
622.34,205.81
627.56,197.87
632.78,208.33
638.01,217.79
643.24,219.52
648.48,231.75
653.73,230.48
658.98,198.51
664.23,186.67
669.49,174.89
674.75,168.9
680.02,181.92
685.29,197.74
690.57,204.96
695.85,206.54
701.14,223.99
706.43,215.03
711.73,205.05
717.03,196.04
722.34,186.93
727.65,151.93
732.97,97.7
738.29,67.82
743.61,93.8
748.94,125.44
754.28,144.18
759.62,123.79
764.97,108.9
770.32,103.28
775.67,94.93
781.03,93.93
786.4,90.2
791.77,79.91
797.14,77.99
802.52,71.46
